xpath,frequency,uniques
/DOC/Image/Image_Id/,99999,99999
/DOC/Image/Source/,99999,1
/DOC/Image/MetaData/Material/Medium/,11156,555
/DOC/Image/Collection/@id,99999,1
/DOC/Image/MetaData/Location/,6954,215
/DOC/Image/MediaFiles/MediaFile/@filename,599995,199886
/DOC/Image/MediaFiles/MediaFile/@lpsid,599995,4449
/DOC/Image/MetaData/Creator/Personal_Name/,59056,6860
/DOC/Image/Object_Id/,99999,99999
/DOC/Image/MediaFiles/MediaFile/@width,599995,3094
/DOC/Image/MetaData/ID_Number/Current_Accession/,188044,181165
/DOC/Image/MetaData/Style_Period/Period/,87572,320
/DOC/Image/Update_Date/,99999,1
/DOC/Image/Creation_Date/,99999,1
/DOC/Image/MediaFiles/MediaFile/@serverurl,599995,6
/DOC/Image/MetaData/Subject/Geographic/,154793,8892
/DOC/Image/ID/,99999,99999
/DOC/Image/MetaData/Title/,95114,78391
/DOC/Image/MediaFiles/MediaFile/@url,599995,599994
/DOC/Image/Collection/,99999,1
/DOC/Image/MetaData/Subject/Topic/,104819,1555
/DOC/Image/MetaData/Description/,27151,10466
/DOC/Image/@xmlns:xdb,99999,1
/DOC/Image/MetaData/Date/Creation/,78581,12262
/DOC/Image/@xmlns:xsi,99999,1
/DOC/Image/MetaData/Measurements/Dimensions/,33243,21932
/DOC/Image/MetaData/Record_Type/,99999,1
/DOC/Image/MediaFiles/MediaFile/@lps,599995,4449
/DOC/Image/MediaFiles/MediaFile/@resolution,599995,7
/DOC/Image/MetaData/Measurements/Format/,99909,48
/DOC/Image/MediaFiles/MediaFile/@height,599995,3100
/DOC/Image/@xsi:noNamespaceSchemaLocation,99999,1
/DOC/Image/MetaData/Location/Current_Repository/,23913,1419
/DOC/Image/MetaData/Location/Creation_Site/,24802,2113
/DOC/Image/MetaData/Title/Variant/,9770,6531
/DOC/Image/MetaData/Creator/Corporate_Name/,747,154
/DOC/Image/MetaData/Material/Support/,17,9
/DOC/Image/MetaData/Material/,41365,4836
/DOC/Image/MediaFiles/MediaFile/@format,599995,2
/DOC/Image/MetaData/Subject/,148352,14755
/DOC/Image/MetaData/Type/,213735,18257
