xpath,frequency,uniques
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/carried_out_by/in_class/,4,3
/CRMset/CRM_Entity/has_type/is_identified_by/is_referred_to_by/has_note/,100,69
/CRMset/CRM_Entity/preferred_identifier_is/has_type/in_class/,200,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/at_most_within/begins_at/in_class/,140,2
/CRMset/CRM_Entity/was_present_at/at_most_within/begins_at/in_class/,2,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/at_most_within/begins_at/in_class/,2,2
/CRMset/CRM_Entity/was_classified_by/carried_out_by/in_class/,140,19
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/has_type/in_class/,50,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/took_place_at/is_identified_by/in_class/,4,3
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_measured/at_most_within/begins_at/in_class/,90,2
/CRMset/CRM_Entity/was_present_at/took_place_at/in_class/,8,5
/CRMset/CRM_Entity/has_type/is_identified_by/in_class/,400,168
/CRMset/CRM_Entity/was_present_at/has_type/in_class/,2,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/carried_out_by/in_class/,100,3
/CRMset/CRM_Entity/was_classified_by/assigned/has_type/in_class/,272,3
/CRMset/CRM_Entity/was_classified_by/assigned/has_type/,4,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_measured/observed_dimension/has_type/in_class/,182,3
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/carried_out_by/has_note/,50,2
/CRMset/CRM_Entity/has_type/is_identified_by/is_referred_to_by/in_class/,200,4
/CRMset/CRM_Entity/changed_ownership_by/transferred_title_to/took_place_at/falls_within/in_class/,200,2
/CRMset/CRM_Entity/changed_ownership_by/carried_out_by/is_identified_by/in_class/,8,5
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/has_note/,1,1
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/assigned/in_class/,280,3
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_measured/carried_out_by/is_identified_by/in_class/,360,5
/CRMset/CRM_Entity/changed_ownership_by/carried_out_by/in_class/,4,3
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/took_place_at/in_class/,8,5
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/in_class/,2,2
/CRMset/CRM_Entity/changed_ownership_by/has_type/in_class/,202,4
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/at_most_within/ends_at/in_class/,2,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/in_class/,210,72
/CRMset/CRM_Entity/changed_ownership_by/in_class/,202,88
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/carried_out_by/is_identified_by/in_class/,200,5
/CRMset/CRM_Entity/has_type/in_class/,606,136
/CRMset/CRM_Entity/has_type/is_identified_by/is_identified_by/in_class/,200,78
/CRMset/CRM_Entity/is_referred_to_by/has_note/,95,77
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/consists_of/in_class/,2,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/is_documented_in/has_type/in_class/,92,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/is_documented_in/was_produced_by/has_note/,46,1
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_measured/has_type/in_class/,90,2
/CRMset/CRM_Entity/is_referred_to_by/in_class/,190,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/,45,45
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_measured/carried_out_by/has_note/,90,2
/CRMset/CRM_Entity/has_dimension/unit/,210,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_measured/carried_out_by/in_the_role_of/in_class/,180,3
/CRMset/CRM_Entity/is_documented_in/was_created_by/,1,1
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/carried_out_by/is_identified_by/in_class/,8,5
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/has_type/in_class/,140,2
/CRMset/CRM_Entity/is_identified_by/has_type/in_class/,200,2
/CRMset/CRM_Entity/has_dimension/has_type/in_class/,425,6
/CRMset/CRM_Entity/was_classified_by/in_class/,140,62
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/has_type/in_class/,2,2
/CRMset/CRM_Entity/has_note/,82,72
/CRMset/CRM_Entity/has_dimension/value/,213,139
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/is_identified_by/in_class/,280,142
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/is_documented_in/has_note/,46,46
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_measured/observed_dimension/in_class/,182,91
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/consists_of/in_class/,140,2
/CRMset/CRM_Entity/was_present_at/at_most_within/ends_at/in_class/,2,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_measured/at_most_within/ends_at/in_class/,90,2
/CRMset/CRM_Entity/has_type/has_type/in_class/,200,2
/CRMset/CRM_Entity/changed_ownership_by/transferred_title_to/in_class/,200,3
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/is_documented_in/was_produced_by/in_class/,92,4
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/at_most_within/ends_at/in_class/,50,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/has_type/in_class/,2,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/at_most_within/begins_at/in_class/,50,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/is_documented_in/in_class/,138,48
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/assigned/in_class/,4,3
/CRMset/CRM_Entity/has_note/has_type/,827,679
/CRMset/CRM_Entity/changed_ownership_by/carried_out_by/has_note/,2,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_measured/in_class/,125,47
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/carried_out_by/in_the_role_of/in_class/,100,3
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/took_place_at/is_identified_by/in_class/,280,3
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/carried_out_by/has_note/,2,2
/CRMset/CRM_Entity/was_classified_by/assigned/in_class/,268,102
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/carried_out_by/in_the_role_of/in_class/,4,3
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/in_class/,2,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/in_class/,50,26
/CRMset/CRM_Entity/has_dimension/in_class/,426,212
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/,1,1
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/in_class/,3,3
/CRMset/CRM_Entity/in_class/,406,191
/CRMset/CRM_Entity/is_documented_in/in_class/,402,189
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/is_documented_in/was_produced_by/at_most_within/ends_at/in_class/,86,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/took_place_at/in_class/,560,5
/CRMset/CRM_Entity/preferred_identifier_is/in_class/,200,87
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_measured/carried_out_by/in_class/,180,3
/CRMset/CRM_Entity/changed_ownership_by/transferred_title_to/took_place_at/in_class/,200,3
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_measured/observed_dimension/unit/,91,1
/CRMset/CRM_Entity/changed_ownership_by/carried_out_by/in_the_role_of/in_class/,4,3
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/is_documented_in/was_produced_by/has_type/in_class/,92,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/is_documented_in/was_produced_by/at_most_within/begins_at/in_class/,92,4
/CRMset/CRM_Entity/changed_ownership_by/at_most_within/ends_at/in_class/,2,2
/CRMset/CRM_Entity/was_present_at/took_place_at/is_identified_by/in_class/,4,3
/CRMset/CRM_Entity/was_classified_by/at_most_within/in_class/,140,18
/CRMset/CRM_Entity/is_identified_by/in_class/,406,191
/CRMset/CRM_Entity/changed_ownership_by/at_most_within/begins_at/in_class/,2,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/in_class/,140,71
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_measured/observed_dimension/value/,91,55
/CRMset/CRM_Entity/changed_ownership_by/at_most_within/in_class/,200,5
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/at_most_within/ends_at/in_class/,2,2
/CRMset/CRM_Entity/has_note/has_type/in_class/,1654,14
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/changed_ownership_by/at_most_within/begins_at/in_class/,2,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/at_most_within/ends_at/in_class/,140,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/is_identified_by/in_class/,2,2
/CRMset/CRM_Entity/was_present_at/in_class/,2,2
/CRMset/CRM_Entity/is_composed_of/CRM_Entity/was_classified_by/has_type/in_class/,2,2
