xpath,frequency,uniques
/dictionary/body/p/def/stageof/gen/,1,1
/dictionary/body/p/note/phylum/,12,11
/dictionary/body/p/cs/table/source/,24,2
/dictionary/body/p/def/singf/,4,4
/dictionary/body/p/def/publ/,2,2
/dictionary/body/p/cs/rj/qau/,307,144
/dictionary/body/p/def/note/singw/it/,1,1
/dictionary/body/p/def/styp/class/,3,3
/dictionary/body/p/wordforms/wf/,5362,4103
/dictionary/body/p/altname/col/b/,1,1
/dictionary/body/p/note/I/,1,1
/dictionary/body/p/cs/cd/supr/,6,5
/dictionary/body/p/cs/cd/spn/,5038,4335
/dictionary/body/p/def/member/spn/,1,1
/dictionary/body/p/note/longprimertype/,2,2
/dictionary/body/p/wordforms/def/pos/,1,1
/dictionary/body/p/cs/cd/parts/,2,2
/dictionary/body/p/amorph/,420,7
/dictionary/body/p/table/@RULES,1,1
/dictionary/front/div0/au.entry/au.see/,5,2
/dictionary/body/p/wordforms/pr/it/,2,2
/dictionary/body/p/cs/cd/persfn/etsep/,1,1
/dictionary/body/p/cs/table/column1/,1,1
/dictionary/body/p/cs/cd/fam/,212,178
/dictionary/body/p/note/suborder/,2,2
/dictionary/body/p/def/isa/fam/,1,1
/dictionary/body/p/note/state/,2,2
/dictionary/body/p/cs/cd/spn/i/,2,2
/dictionary/body/p/vmorph/conjf/,13186,12627
/dictionary/body/p/sing/it/,27,1
/dictionary/body/p/def/as/corpn/,6,6
/dictionary/body/p/def/mathex/it/,1,1
/dictionary/body/p/def/note/pos/,2,2
/dictionary/body/p/cs/mcol/cd/cref/,2,2
/dictionary/body/p/illust/matrix/row/,6,6
/dictionary/body/p/cs/col/,15021,42
/dictionary/body/p/def2/pos/,903,14
/dictionary/body/p/def/as/person/,27,24
/dictionary/front/div0/p/,1,1
/dictionary/body/p/ety/,56677,11165
/dictionary/body/p/vmorph/it/,25,5
/dictionary/body/p/usage/singw/,2,2
/dictionary/body/p/cs/q/br/,64,62
/dictionary/body/p/note/title/,2,2
/dictionary/body/p/altsp/grk/,2,2
/dictionary/body/p/note/persfn/,98,79
/dictionary/body/p/cs/note/table/,2,1
/dictionary/body/p/def2/hw/,3,3
/dictionary/body/p/note/q/,69,60
/dictionary/body/p/def/inv/,92,89
/dictionary/body/p/note/contr/,104,87
/dictionary/body/p/def/causedbyp/spn/,1,1
/dictionary/body/p/mark/as/ex/,2,2
/dictionary/body/p/cs/cd/note/germantype/point10/,1,1
/dictionary/body/p/ety/person/ex/,2,2
/dictionary/body/p/def2/def/city/,6,6
/dictionary/body/p/def/spn/,9825,7968
/dictionary/body/p/note/altsp/,3,3
/dictionary/body/p/note/abbr/,18,17
/dictionary/body/p/stype/,1321,652
/dictionary/body/p/note/q/person/,4,4
/dictionary/body/p/caption/note/it/,12,12
/dictionary/body/p/def2/def/ord/,32,19
/dictionary/body/p/note/br/,374,356
/dictionary/body/p/usage/er/,2165,1097
/dictionary/body/p/wordforms/fld/,2,2
/dictionary/body/p/q/qperson/,9,9
/dictionary/body/p/def/mark/,229,144
/dictionary/body/p/def/b/,15,15
/dictionary/body/p/def/corpn/etsep/,1,1
/dictionary/body/p/note/prodby/,3,3
/dictionary/body/p/def/recipr/,16,16
/dictionary/body/p/def/sup/,22,22
/dictionary/body/p/cs/note/altname/,2,2
/dictionary/body/p/def/mathex/it/exp/,4,3
/dictionary/body/p/note/TITLE/,1,1
/dictionary/body/p/cd/ex/,2,2
/dictionary/body/p/note/grk/,38,38
/dictionary/body/p/def/altnpluf/,6,6
/dictionary/body/p/method/,1,1
/dictionary/body/p/nmorph/plu/pr/,4,4
/dictionary/body/p/cs/note/it/,2,2
/dictionary/body/p/caption/xex/,79,74
/dictionary/body/p/q/sb/,3,3
/dictionary/body/p/def2/def/stype/,2,2
/dictionary/body/p/wordforms/rj/au/,1,1
/dictionary/body/p/note/mathex/exp/,24,14
/dictionary/body/p/usage/au/,164,121
/dictionary/body/p/cs/def/pos/,2,2
/dictionary/body/p/cs/q/xex/,2,2
/dictionary/body/p/note/table/row/gothictype/,1,1
/dictionary/body/p/cs/mcol/xex/,10,9
/dictionary/body/p/cs/cd/br/,2,2
/dictionary/body/p/def/frac/,124,87
/dictionary/body/p/note/stype/it/,4,2
/dictionary/body/p/def/etsep/,348,327
/dictionary/front/div0/ab.entry/ab.full/,423,417
/dictionary/body/p/table/point4/,1,1
/dictionary/body/p/nmorph/pos/,56,15
/dictionary/body/p/ety/sd/,26,8
/dictionary/body/p/note/pre/tt/br/,49,48
/dictionary/body/p/pr/er/,54,30
/dictionary/body/p/def/as/mcol/col/b/,2,2
/dictionary/body/p/def/mathex/root/exp/,8,5
/dictionary/body/p/cs/note/,34,30
/dictionary/body/p/def/xex/,14636,9294
/dictionary/body/p/note/prodby/spn/,3,3
/dictionary/body/p/bio/pr/,2,2
/dictionary/body/p/cs/note/pos/,2,2
/dictionary/body/p/usage/pbr/,43,10
/dictionary/body/p/cs/cd/gen/,1540,1293
/dictionary/body/p/plu/i/,2,2
/dictionary/body/p/def/river/,2,2
/dictionary/body/p/mhw/ety/,2,2
/dictionary/body/p/def2/def/ex/,8,8
/dictionary/body/p/syn/,10128,7656
/dictionary/body/p/ety/pos/,7522,97
/dictionary/body/p/ety/ets/,227772,98402
/dictionary/body/p/amorph/pr/,458,132
/dictionary/body/p/note/subtypes/mcol/col/,2,2
/dictionary/body/p/cs/pluf/,10,3
/dictionary/body/p/,226041,10
/dictionary/body/p/def/company/,6,6
/dictionary/body/p/cs/pr/,101,27
/dictionary/body/p/def/plw/,3,3
/dictionary/body/p/def/parts/,16,14
/dictionary/body/p/note/pre/tt/,3,3
/dictionary/body/p/caption/er/,1,1
/dictionary/body/p/note/member/,4,4
/dictionary/body/p/cs/cd/mathex/frac/,4,4
/dictionary/body/p/cs/note/rj/au/,2,2
/dictionary/body/p/note/stype/col/b/,8,8
/dictionary/body/p/def/causes/,34,33
/dictionary/body/p/note/smpicatype/it/,2,2
/dictionary/body/p/table/tr/th/i/,4,4
/dictionary/body/p/cs/cd/er/pos/,2,2
/dictionary/front/div0/@name,2,2
/dictionary/body/p/refs/booki/,2,2
/dictionary/body/p/cs/note/nonpareiltype/,2,2
/dictionary/body/p/def/col/b/it/,1,1
/dictionary/body/p/usage/def/as/,10,10
/dictionary/body/p/pre/colf/,396,396
/dictionary/body/p/vmorph/pr/it/,38,22
/dictionary/body/p/cs/note/au/,10,10
/dictionary/body/p/cs/mcol/altname/,6,4
/dictionary/body/p/hypen/,2,2
