xpath,frequency,uniques
/dublin-core/identifier/sid/,9847,194
/dublin-core/subject/level2/,2078,140
/dublin-core/essentialresources/,1042,647
/dublin-core/language/scheme/,2507,1
/dublin-core/quality/completeness/,7,1
/dublin-core/subject/level1/,3066,14
/dublin-core/publisher/homepage/,11196,517
/dublin-core/rights/url/,4073,256
/dublin-core/quality/category/,11,1
/dublin-core/standards/authority/,5494,255
/dublin-core/cataloging/postal/,893,9
/dublin-core/relation/issponsoredby/,1075,25
/dublin-core/creator/phone/,3,3
/dublin-core/description/,12500,11944
/dublin-core/creator/name/,537,246
/dublin-core/relation/ispeerreview/,3,3
/dublin-core/standards/text/,1,1
/dublin-core/coverage/temporal/,12,4
/dublin-core/date/validfrom/,1,1
/dublin-core/identifier/url/,12540,12052
/dublin-core/title/,12530,12013
/dublin-core/creator/namecorporate/,7,5
/dublin-core/identifier/sdn/,2281,2222
/dublin-core/language/text/,2507,6
/dublin-core/type/scheme/,12539,5
/dublin-core/cataloging/version/,8440,7
/dublin-core/identifier/scheme/,2,1
/dublin-core/cataloging/application/,9177,2
/dublin-core/publisher/url/,538,1
/dublin-core/pedagogy/scheme/,5456,1
/dublin-core/standards/subordinate/,506,388
/dublin-core/cataloging/fax/,57,4
/dublin-core/rights/cost/,40,1
/dublin-core/cataloging/homepage/,8810,20
/dublin-core/audience/scheme/,1816,1
/dublin-core/relation/isparentof/,46,8
/dublin-core/description/a/,4,4
/dublin-core/duration/,440,190
/dublin-core/creator/role/,9,4
/dublin-core/grade/level/term/,1988,6
/dublin-core/quality/organization/,11,1
/dublin-core/publisher/postal/,1421,13
/dublin-core/standards/grade/,3241,46
/dublin-core/type/,12540,139
/dublin-core/date/modified/,741,200
/dublin-core/subject/term/,71,16
/dublin-core/creator/fax/,2,2
/dublin-core/cataloging/cataloguerid/,740,32
/dublin-core/publisher/role/,13108,3
/dublin-core/audience/toolfor/,17600,18
/dublin-core/pedagogy/prerequisite/term/,4,4
/dublin-core/creator/postal/,345,191
/dublin-core/creator/namepersonal/,903,149
/dublin-core/rights/,539,2
/dublin-core/audience/,8,1
/dublin-core/publisher/name/,12788,704
/dublin-core/relation/issiblingof/,52,51
/dublin-core/relation/iscriticalreviewof/,33,31
/dublin-core/quality/scale/,11,1
/dublin-core/pedagogy/grouping/,1218,31
/dublin-core/pedagogy/teachingmethods/,3275,884
/dublin-core/subject/leveltwo/,41712,187
/dublin-core/subject/scheme/,156,2
/dublin-core/cataloging/phone/,1633,39
/dublin-core/date/scheme/,11298,3
/dublin-core/subject/keywords/term/,72764,23979
/dublin-core/quality/appropriateness/,11,1
/dublin-core/grade/scheme/,14082,1
/dublin-core/date/placedonline/,2655,357
/dublin-core/relation/isdataforisderivedfrom/,59,27
/dublin-core/creator/affiliation/,455,209
/dublin-core/creator/email/,11,10
/dublin-core/relation/ischildof/,565,58
/dublin-core/relation/isuserreview/,1,1
/dublin-core/subject/levelone/,42613,21
/dublin-core/relation/isoverviewof/,92,23
/dublin-core/format/scheme/,10471,2
/dublin-core/audience/beneficiary/,15797,36
/dublin-core/publisher/contact/,997,25
/dublin-core/publisher/email/,4247,56
/dublin-core/creator/homepage/,7,5
/dublin-core/format/contenttype/,12529,60
/dublin-core/rights/pricecode/,9212,3
/dublin-core/grade/grade/term/,53642,18
/dublin-core/relation/issitecriteria/,1827,26
/dublin-core/publisher/phone/,1420,8
/dublin-core/quality/motivation/,4,1
/dublin-core/standards/topic/,3995,261
/dublin-core/description/a/@href,2,2
/dublin-core/pedagogy/assessment/,959,47
/dublin-core/standards/code/,1431,333
/dublin-core/coverage/spatial/,12,8
/dublin-core/date/recordcreated/,9702,9002
/dublin-core/date/created/,7,7
/dublin-core/cataloging/email/,10885,48
/dublin-core/quality/authority/,11,2
/dublin-core/cataloging/name/,12537,59
/dublin-core/standards/main/,5491,2879
/dublin-core/relation/text/,3833,181
