xpath,frequency,uniques
/SearchMetadata/CourseMetadata/Technical/Requirement/MinimumVersion/,6,3
/SearchMetadata/ResourceMetadata/LifeCycle/Contribute/@Owner,665,2
/SearchMetadata/ResourceMetadata/MetaMetadata/Contributes/@Id,1560,5
/SearchMetadata/ResourceMetadata/LifeCycle/Contribute/Date/,665,4
/SearchMetadata/CourseMetadata/Technical/Requirement/@Owner,6,1
/SearchMetadata/ResourceMetadata/Classification/TaxonPath/@Id,624,2
/SearchMetadata/CourseMetadata/Classification/TaxonPath/Source/,43,2
/SearchMetadata/SectionMetadata/LifeCycle/Version/,243,5
/SearchMetadata/CourseMetadata/Classification/Keyword/@Owner,3,1
/SearchMetadata/ResourceMetadata/@xmlns:xsi,2105,1
/SearchMetadata/ResourceMetadata/General/Description/,1854,1010
/SearchMetadata/CourseMetadata/Classification/TaxonPath/@Owner,4,1
/SearchMetadata/SectionMetadata/Classification/TaxonPath/Taxon/Description/,6,1
/SearchMetadata/ResourceMetadata/Technical/Requirement/MaximumVersion/,936,1
/SearchMetadata/CourseMetadata/LifeCycle/Contribute/Entity/,51,51
/SearchMetadata/CourseMetadata/LifeCycle/Contribute/Role/,51,2
/SearchMetadata/CourseMetadata/LifeCycle/Version/,28,6
/SearchMetadata/ResourceMetadata/LifeCycle/Contribute/Role/,1196,2
/SearchMetadata/ResourceMetadata/LifeCycle/Version/,2105,7
/SearchMetadata/SectionMetadata/General/AggregationLevel/,243,1
/SearchMetadata/CourseMetadata/MetaMetadata/Contributes/@Source,15,1
/SearchMetadata/SectionMetadata/Technical/Requirement/Type/,18,2
/SearchMetadata/CourseMetadata/Educational/Context/,28,2
/SearchMetadata/ResourceMetadata/General/Language/,312,1
/SearchMetadata/SectionMetadata/Relation/@Id,6,1
/SearchMetadata/SectionMetadata/Technical/Requirement/Name/,18,3
/SearchMetadata/ResourceMetadata/Relation/Resource/,1961,30
/SearchMetadata/SectionMetadata/Technical/Requirement/@Id,18,3
/SearchMetadata/ResourceMetadata/General/Title/,2105,1875
/SearchMetadata/SectionMetadata/Technical/Location/,243,243
/SearchMetadata/ResourceMetadata/Educational/LearningResourceType/,1959,19
/SearchMetadata/SectionMetadata/LifeCycle/Contribute/Entity/,439,49
/SearchMetadata/CourseMetadata/General/Title/,28,28
/SearchMetadata/SectionMetadata/LifeCycle/Contribute/@Source,12,1
/SearchMetadata/CourseMetadata/LifeCycle/Contribute/@Source,6,1
/SearchMetadata/CourseMetadata/Classification/TaxonPath/Taxon/Description/,2,2
/SearchMetadata/SectionMetadata/Classification/TaxonPath/@Owner,12,1
/SearchMetadata/ResourceMetadata/Classification/TaxonPath/Taxon/@Id,624,2
/SearchMetadata/SectionMetadata/Classification/TaxonPath/Taxon/@Owner,12,1
/SearchMetadata/CourseMetadata/@xmlns:xsi,28,1
/SearchMetadata/ResourceMetadata/LifeCycle/Contribute/@Source,624,1
/SearchMetadata/SectionMetadata/Technical/Requirement/MinimumVersion/,18,3
/SearchMetadata/SectionMetadata/@xmlns:xsi,243,1
/SearchMetadata/ResourceMetadata/Technical/Requirement/MinimumVersion/,936,3
/SearchMetadata/SectionMetadata/Technical/Requirement/MaximumVersion/,18,1
/SearchMetadata/ResourceMetadata/Classification/TaxonPath/Source/,3512,2
/SearchMetadata/ResourceMetadata/MetaMetadata/Contributes/@Source,1560,1
/SearchMetadata/SectionMetadata/Rights/Description/,6,1
/SearchMetadata/SectionMetadata/LifeCycle/Contribute/@Owner,12,2
/SearchMetadata/SectionMetadata/LifeCycle/Contribute/@Id,12,2
/SearchMetadata/SectionMetadata/Relation/Resource/,6,1
/SearchMetadata/ResourceMetadata/Relation/@Owner,312,1
/SearchMetadata/CourseMetadata/MetaMetadata/Contributes/@Id,15,15
/SearchMetadata/ResourceMetadata/MetaMetadata/Contributes/Role/,1560,2
/SearchMetadata/SectionMetadata/Classification/TaxonPath/Source/,345,2
/SearchMetadata/ResourceMetadata/Technical/Requirement/Name/,936,3
/SearchMetadata/SectionMetadata/Classification/TaxonPath/Taxon/@Id,12,2
/SearchMetadata/SectionMetadata/LifeCycle/Contribute/Role/,12,1
/SearchMetadata/ResourceMetadata/General/SectionTitle/,1793,39
/SearchMetadata/ResourceMetadata/MetaMetadata/Contributes/Centity/,1560,2
/SearchMetadata/CourseMetadata/LifeCycle/Contribute/@Owner,6,2
/SearchMetadata/ResourceMetadata/MetaMetadata/Contributes/@Owner,1560,1
/SearchMetadata/CourseMetadata/General/Catalog/Entry/,28,28
/SearchMetadata/CourseMetadata/LifeCycle/Contribute/@Id,6,6
/SearchMetadata/ResourceMetadata/LifeCycle/Status/,312,1
/SearchMetadata/CourseMetadata/General/Language/,2,1
/SearchMetadata/CourseMetadata/Rights/Description/,2,1
/SearchMetadata/CourseMetadata/MetaMetadata/Contributes/Centity/,15,7
/SearchMetadata/SectionMetadata/LifeCycle/Contribute/Date/,12,2
/SearchMetadata/ResourceMetadata/Classification/TaxonPath/Taxon/@Owner,624,1
/SearchMetadata/ResourceMetadata/Educational/Description/,311,25
/SearchMetadata/SectionMetadata/MetaMetadata/Contributes/Centity/,42,4
/SearchMetadata/SectionMetadata/General/Title/,243,15
/SearchMetadata/ResourceMetadata/Technical/Requirement/Type/,936,2
/SearchMetadata/ResourceMetadata/Technical/Requirement/@Owner,936,1
/SearchMetadata/SectionMetadata/Educational/Context/,243,2
/SearchMetadata/SectionMetadata/LifeCycle/Status/,6,1
/SearchMetadata/CourseMetadata/General/AggregationLevel/,28,1
/SearchMetadata/ResourceMetadata/Classification/TaxonPath/Taxon/Description/,312,1
/SearchMetadata/SectionMetadata/Classification/TaxonPath/Taxon/TaxonIdentifier/,12,2
/SearchMetadata/CourseMetadata/MetaMetadata/Contributes/@Owner,15,2
/SearchMetadata/CourseMetadata/Classification/TaxonPath/Taxon/@Id,4,4
/SearchMetadata/CourseMetadata/Technical/Requirement/Name/,6,3
/SearchMetadata/ResourceMetadata/Classification/TaxonPath/@Owner,624,1
/SearchMetadata/ResourceMetadata/Relation/Kind/,1961,1
/SearchMetadata/ResourceMetadata/Relation/@Id,312,1
/SearchMetadata/SectionMetadata/General/Description/,31,16
/SearchMetadata/SectionMetadata/General/Language/,6,1
/SearchMetadata/SectionMetadata/Classification/Keyword/,2010,198
/SearchMetadata/CourseMetadata/Technical/Requirement/MaximumVersion/,6,1
/SearchMetadata/ResourceMetadata/Classification/Keyword/@Owner,936,1
/SearchMetadata/CourseMetadata/Technical/Requirement/Type/,6,2
/SearchMetadata/ResourceMetadata/Technical/Requirement/@Id,936,3
/SearchMetadata/CourseMetadata/Technical/Location/,28,28
/SearchMetadata/ResourceMetadata/LifeCycle/Contribute/Entity/,3898,318
/SearchMetadata/ResourceMetadata/Relation/Description/,1959,30
/SearchMetadata/ResourceMetadata/Classification/Keyword/@Id,936,3
/SearchMetadata/CourseMetadata/Classification/TaxonPath/Taxon/TaxonIdentifier/,4,4
/SearchMetadata/SectionMetadata/Rights/CopyrightAndOtherRestrictions/,6,1
/SearchMetadata/SectionMetadata/MetaMetadata/Contributes/@Id,42,7
/SearchMetadata/ResourceMetadata/Technical/Location/,1631,1449
/SearchMetadata/CourseMetadata/LifeCycle/Contribute/Date/,6,4
/SearchMetadata/ResourceMetadata/General/AggregationLevel/,2105,1
/SearchMetadata/CourseMetadata/Classification/TaxonPath/@Id,4,4
/SearchMetadata/ResourceMetadata/Rights/Cost/,312,1
/SearchMetadata/CourseMetadata/Rights/CopyrightAndOtherRestrictions/,2,1
/SearchMetadata/CourseMetadata/Classification/Keyword/,204,201
/SearchMetadata/ResourceMetadata/Technical/Format/,312,2
/SearchMetadata/SectionMetadata/Relation/Kind/,6,1
/SearchMetadata/SectionMetadata/MetaMetadata/Contributes/@Source,42,1
/SearchMetadata/CourseMetadata/LifeCycle/Status/,2,1
/SearchMetadata/CourseMetadata/Classification/Keyword/@Id,3,3
/SearchMetadata/SectionMetadata/Technical/Requirement/@Owner,18,1
/SearchMetadata/SectionMetadata/MetaMetadata/Contributes/@Owner,42,2
/SearchMetadata/CourseMetadata/General/Description/,27,27
/SearchMetadata/ResourceMetadata/Technical/Size/,312,304
