xpath,frequency,uniques
/rdf:RDF/er:mfhd/@rdf:about,2330,2330
/rdf:RDF/rdf:Description/er:holdings-v/,2132,610
/rdf:RDF/rdf:Description/er:local/,2318,8
/rdf:RDF/rdf:Description/er:mfhd/@rdf:resource,2330,2330
/rdf:RDF/rdf:Description/@rdf:about,52782,6839
/rdf:RDF/rdf:Description/er:old-title/,40,39
/rdf:RDF/er:link/@rdf:about,2426,2426
/rdf:RDF/rdf:Description/er:topical-term-mesh/@rdf:resource,3225,123
/rdf:RDF/rdf:Description/er:format-type/,56,56
/rdf:RDF/rdf:Description/er:url/,2426,2281
/rdf:RDF/rdf:Description/er:form-genre-term/@rdf:resource,14013,63
/rdf:RDF/rdf:Description/er:uncontrolled-term/,7,6
/rdf:RDF/rdf:Description/er:update/,4539,2655
/rdf:RDF/rdf:Description/er:topical-term/,3763,1281
/rdf:RDF/rdf:Description/er:note/,2079,1192
/rdf:RDF/rdf:Description/er:alt-link/@rdf:resource,59,59
/rdf:RDF/rdf:Description/er:link/@rdf:resource,2367,2367
/rdf:RDF/rdf:Description/er:summary/,32,28
/rdf:RDF/@xmlns:er,1,1
/rdf:RDF/rdf:Description/er:holdings-y/,2194,262
/rdf:RDF/rdf:Description/er:instruction/,3,2
/rdf:RDF/rdf:Description/er:abbrev-title/,2247,2054
/rdf:RDF/rdf:Description/er:title/,2275,2082
/rdf:RDF/rdf:Description/er:pref-alt-title/,2,2
/rdf:RDF/er:bib/@rdf:about,2275,2082
/rdf:RDF/@xmlns:rdf,1,1
/rdf:RDF/rdf:Description/er:unit-name/,2210,162
/rdf:RDF/rdf:Description/er:public-note/,2660,2143
/rdf:RDF/rdf:Description/er:alt-title/,1724,1548
