xpath,frequency,uniques
/VB:viaBatch/viaRecord/work/associatedName/nameElement/,12001,5288
/VB:viaBatch/viaRecord/work/associatedName/dates/,12001,2940
/VB:viaBatch/viaRecord/work/production/placeOfProduction/geodata/country/,2930,38
/VB:viaBatch/viaRecord/work/surrogate/image/@xlink:href,25182,25182
/VB:viaBatch/@xmlns:xs,4,1
/VB:viaBatch/viaRecord/work/location/type/,514,4
/VB:viaBatch/@xsi:SchemaLocation,4,1
/VB:viaBatch/viaRecord/work/copyright/,5016,18
/VB:viaBatch/viaRecord/work/title/type/,9249,25
/VB:viaBatch/VB:header/VB:batchType/,4,1
/VB:viaBatch/viaRecord/work/surrogate/@componentID,42127,42127
/VB:viaBatch/viaRecord/work/associatedName/nationality/,2275,43
/VB:viaBatch/viaRecord/work/surrogate/topic/source/,11766,8
/VB:viaBatch/viaRecord/work/production/placeOfProduction/geodata/siteCity/,2843,798
/VB:viaBatch/viaRecord/work/materials/,32381,2573
/VB:viaBatch/viaRecord/work/itemIdentifier/number/,7868,7374
/VB:viaBatch/viaRecord/work/surrogate/repository/number/,42127,42122
/VB:viaBatch/viaRecord/work/surrogate/creator/nameElement/,622,215
/VB:viaBatch/viaRecord/work/surrogate/associatedName/nationality/,1176,31
/VB:viaBatch/viaRecord/work/state/,137,56
/VB:viaBatch/@xmlns,4,1
/VB:viaBatch/viaRecord/work/surrogate/topic/term/,32349,1873
/VB:viaBatch/viaRecord/work/production/role/,563,1
/VB:viaBatch/viaRecord/work/surrogate/title/textElement/,38997,18780
/VB:viaBatch/@xsi:schemaLocation,4,1
/VB:viaBatch/viaRecord/work/workType/,41756,352
/VB:viaBatch/viaRecord/work/creator/place/,16642,234
/VB:viaBatch/viaRecord/work/surrogate/associatedName/place/,991,67
/VB:viaBatch/viaRecord/work/placeName/place/,755,292
/VB:viaBatch/viaRecord/work/image/@xlink:href,19685,19685
/VB:viaBatch/VB:header/VB:emailAddress/,4,1
/VB:viaBatch/viaRecord/work/surrogate/image/thumbnail/@xlink:href,25182,25182
/VB:viaBatch/viaRecord/work/surrogate/creator/dates/,616,155
/VB:viaBatch/viaRecord/work/description/,9897,5131
/VB:viaBatch/viaRecord/work/surrogate/creator/role/,619,17
/VB:viaBatch/viaRecord/work/relatedInformation/,2775,209
/VB:viaBatch/viaRecord/work/classification/number/,15469,14806
/VB:viaBatch/viaRecord/work/location/place/,11901,1433
/VB:viaBatch/viaRecord/work/topic/source/,51086,10
/VB:viaBatch/VB:header/VB:batchDate/,4,1
/VB:viaBatch/viaRecord/work/title/textElement/,43104,34134
/VB:viaBatch/viaRecord/work/itemIdentifier/type/,7423,65
/VB:viaBatch/viaRecord/work/classification/type/,15469,6
/VB:viaBatch/viaRecord/work/production/producer/,598,206
/VB:viaBatch/viaRecord/work/relatedInformation/@xlink:href,95,1
/VB:viaBatch/viaRecord/work/dimensions/,28202,12912
/VB:viaBatch/viaRecord/work/freeDate/,33345,4981
/VB:viaBatch/viaRecord/work/image/thumbnail/@xlink:href,19685,19685
/VB:viaBatch/viaRecord/recordId/,33345,33345
/VB:viaBatch/viaRecord/work/creator/dates/,30106,1778
/VB:viaBatch/@xmlns:xsi,4,1
/VB:viaBatch/viaRecord/@images,33345,2
/VB:viaBatch/viaRecord/work/topic/term/,71867,2525
/VB:viaBatch/viaRecord/work/structuredDate/beginDate/,26969,863
/VB:viaBatch/viaRecord/work/location/geodata/stateProvince/,8554,63
/VB:viaBatch/viaRecord/work/surrogate/associatedName/nameElement/,5129,661
/VB:viaBatch/viaRecord/work/location/geodata/siteCity/,10410,553
/VB:viaBatch/viaRecord/work/production/placeOfProduction/place/,2991,971
/VB:viaBatch/viaRecord/work/surrogate/workType/,40610,10
/VB:viaBatch/viaRecord/work/surrogate/copyright/,1265,77
/VB:viaBatch/viaRecord/work/surrogate/associatedName/dates/,5129,354
/VB:viaBatch/viaRecord/work/location/geodata/country/,11898,24
/VB:viaBatch/viaRecord/work/image/@restrictedImage,19685,2
/VB:viaBatch/viaRecord/work/production/placeOfProduction/geodata/stateProvince/,2259,169
/VB:viaBatch/viaRecord/work/repository/repositoryName/,27561,1878
/VB:viaBatch/viaRecord/work/surrogate/associatedName/role/,5090,21
/VB:viaBatch/VB:header/VB:recordType/,4,1
/VB:viaBatch/viaRecord/work/associatedName/place/,3574,167
/VB:viaBatch/viaRecord/work/relatedInformation/@link,985,3
/VB:viaBatch/viaRecord/work/creator/nationality/,12022,61
/VB:viaBatch/viaRecord/work/surrogate/notes/,256,215
/VB:viaBatch/viaRecord/work/creator/nameElement/,30103,3958
/VB:viaBatch/viaRecord/work/surrogate/classification/number/,42046,22757
/VB:viaBatch/viaRecord/work/notes/,23137,8643
/VB:viaBatch/viaRecord/work/relatedWork/textElement/,4509,158
/VB:viaBatch/viaRecord/work/culture/term/,15681,112
/VB:viaBatch/viaRecord/work/surrogate/creator/nationality/,376,16
/VB:viaBatch/viaRecord/@xmlns:xlink,33345,1
/VB:viaBatch/viaRecord/work/associatedName/role/,11581,73
/VB:viaBatch/viaRecord/@originalAtHarvard,33345,2
/VB:viaBatch/viaRecord/work/useRestrictions/,12165,24
/VB:viaBatch/viaRecord/work/structuredDate/endDate/,26969,834
